size,hwp,naive_ms,prefetch_ms,speedup,l1d_misses,l2_misses,l2_refs,l2_miss_rate_pct,llc_misses,instructions
256,off,11.2835,13.2295,0.8529,6598415,81735,12062470,0.68,12649,1209664797
256,on,12.7080,13.2905,0.9562,311546,189347,12425466,1.52,8508,1206067721
512,off,109.8465,118.5315,0.9267,52214392,1468815,98577232,1.49,115001,9644273260
512,on,110.1760,131.2765,0.8393,1757416,2395589,101770731,2.35,8500,9605068309
1024,off,966.4450,995.1550,0.9712,409946268,744214758,1483482034,50.17,1055484,76820755911
1024,on,956.2045,990.2045,0.9657,21227436,752248216,1497030709,50.25,35339,76849678528
2048,off,8270.7280,8865.1180,0.9330,3264845319,6031584669,11934729473,50.54,290401931,613558206688
2048,on,8089.2800,8280.1360,0.9770,153630422,6055678612,12052616634,50.24,2559806,613391500824
