size,l2_distance,l1_distance,fill_level,hwp,naive_ms,prefetch_ms,speedup,l1d_misses,l2_misses,l2_refs,l2_miss_rate_pct,llc_misses,instructions
512,256,64,0,off,109.4652,110.0346,0.9948,55328611,909050,96962981,0.94,119158,7824517024
512,256,64,0,on,108.5616,109.8132,0.9886,2780349,3031732,100980201,3.00,10898,7816153189
512,256,64,1,off,109.5688,110.9104,0.9879,89443493,1180614,138793262,0.85,137446,7863614312
512,256,64,1,on,108.6242,110.2486,0.9853,1750945,1712260,120126341,1.43,7007,7858469211
512,256,64,2,off,109.3760,110.2824,0.9918,89536835,1445285,139189981,1.04,129636,7762457829
512,256,64,2,on,108.6618,109.3420,0.9938,1740780,3042368,121960140,2.49,11950,7754996717
512,256,64,3,off,109.7102,135.2720,0.8110,54621075,6878046,106635581,6.45,121057,7827708260
512,256,64,3,on,108.8656,110.9408,0.9813,2701163,1516952,111684714,1.36,8146,7817851642
1024,32,8,0,off,964.0752,964.8208,0.9992,399670584,749036799,1490616811,50.25,1230724,64668995181
1024,32,8,0,on,954.5722,963.0034,0.9912,19881526,752975418,1499760920,50.21,52213,64666708366
1024,32,8,1,off,964.0602,972.7398,0.9911,724571763,748093110,2106881976,35.51,1315899,65316604903
1024,32,8,1,on,953.7268,959.3300,0.9942,27070114,750964824,1510015640,49.73,46544,65317183335
1024,32,8,2,off,964.6962,965.6746,0.9990,724489183,747790629,2125773950,35.18,1320660,63693555109
1024,32,8,2,on,954.3376,954.7538,0.9996,29659264,751240615,1521533255,49.37,42496,63704405897
1024,32,8,3,off,964.4110,1512.3450,0.6377,400046860,707608210,1167364845,60.62,1263497,64626003703
1024,32,8,3,on,953.9680,962.0840,0.9916,,,,n/a,,
1024,64,16,0,off,n/a,n/a,n/a,,,,n/a,,
1024,64,16,0,on,n/a,n/a,n/a,,,,n/a,,
1024,64,16,1,off,n/a,n/a,n/a,,,,n/a,,
