size,hwp,naive_ms,prefetch_ms,speedup,l1d_misses,l2_misses,l2_refs,l2_miss_rate_pct,llc_misses,instructions
256,off,11.7985,13.3720,0.8823,5892385,53260,12391271,0.43,12134,1132576075
256,on,12.0520,13.5545,0.8892,254223,85351,12427735,0.69,3698,1143817967
512,off,110.5240,119.4800,0.9250,49637248,1281305,98681495,1.30,82123,9009040964
512,on,109.4070,119.2055,0.9178,1452962,1456172,101250409,1.44,10485,9031472587
1024,off,966.0245,996.3050,0.9696,399161615,749029677,1487288994,50.36,600832,71851556741
1024,on,955.2660,994.9045,0.9602,21139550,753063948,1497213827,50.30,35413,71811600795
2048,off,8244.3385,9036.1675,0.9124,3220057289,6033012663,11956795039,50.46,213525161,573452559900
2048,on,8075.6355,8238.1720,0.9803,154360979,6051477756,12044265525,50.24,2287659,573407276427
