size,hwp,naive_ms,prefetch_ms,speedup,l1d_misses,l2_misses,l2_refs,l2_miss_rate_pct,llc_misses,instructions
256,off,12.1585,13.2070,0.9206,6328185,53440,12025330,0.44,5125,1212191165
256,on,16.2435,13.1390,1.2363,332739,86167,12068266,0.71,4048,1217743198
512,off,113.9420,124.2005,0.9174,51218157,1066962,98119572,1.09,110716,9635397753
512,on,112.6025,130.5645,0.8624,1594151,1164277,99802334,1.17,9258,9642122288
1024,off,966.2265,1006.1640,0.9603,405149091,750423087,1482637238,50.61,916808,76838296688
1024,on,955.7210,990.6545,0.9647,21020452,749944407,1497313621,50.09,36670,76795263265
2048,off,8265.3480,9058.7575,0.9124,3244660199,6026855781,11930428149,50.52,277230776,613651068656
2048,on,8088.6905,8343.5145,0.9695,153967848,6055328448,12051662322,50.24,2527781,613413014506
