size,hwp,naive_ms,prefetch_ms,speedup,l1d_misses,l2_misses,l2_refs,l2_miss_rate_pct,llc_misses,instructions
256,off,11.6090,13.0625,0.8887,5898190,141201,12207381,1.16,16588,1226291017
256,on,11.3380,17.1060,0.6628,325458,153496,12550863,1.22,6348,1227079023
512,off,110.5830,118.2755,0.9350,49826113,1807550,98576679,1.83,100172,9637744424
512,on,109.1555,117.6945,0.9274,1438821,1531538,99274034,1.54,5040,9638757582
1024,off,966.4900,996.2385,0.9701,400015828,750907587,1483463033,50.62,1042829,76842664325
1024,on,955.4305,990.7190,0.9644,21168311,750896727,1497399994,50.15,33634,76816759851
2048,off,8286.1150,9421.1225,0.8795,3224462938,6034393414,11936535075,50.55,302678113,613626707437
2048,on,8079.9835,8675.4855,0.9314,155595739,6060902669,12060871589,50.25,2337871,613272946404
