size,hwp,naive_ms,prefetch_ms,speedup,l1d_misses,l2_misses,l2_refs,l2_miss_rate_pct,llc_misses,instructions
256,off,11.3430,13.4230,0.8450,6191401,91548,12435118,0.74,10628,1131021341
256,on,11.6015,13.3895,0.8665,217073,134271,12473228,1.08,7592,1134126962
512,off,110.2775,118.6040,0.9298,49782973,968735,98239549,0.99,88919,9012273319
512,on,109.3950,118.9170,0.9199,1425891,2869437,101774559,2.82,7551,9019883219
1024,off,965.8420,998.3860,0.9674,398988873,749355059,1488124811,50.36,928543,71838910707
1024,on,955.4080,996.0560,0.9592,20976409,750786708,1497165416,50.15,38844,71805581196
2048,off,8221.1435,8736.6505,0.9410,3220489896,6031623496,11955587265,50.45,196939653,573545941901
2048,on,8099.9025,8286.5715,0.9775,153078066,6076075943,12071646546,50.33,2607352,573535992642
