size,hwp,naive_ms,prefetch_ms,speedup,l1d_misses,l2_misses,l2_refs,l2_miss_rate_pct,llc_misses,instructions
256,off,11.5870,13.2600,0.8738,6826211,79552,12088841,0.66,10394,1208212526
256,on,11.1980,13.2100,0.8477,254667,92562,12107503,0.76,6602,1210996065
512,off,110.0840,119.1540,0.9239,53534850,3192219,98808266,3.23,126286,9624031787
512,on,109.2425,118.1415,0.9247,1471464,2581012,100143298,2.58,5522,9641688200
1024,off,965.9005,994.7675,0.9710,415252863,751003663,1484524563,50.59,987974,76789599838
1024,on,954.6710,991.0850,0.9633,21002049,750474885,1497394859,50.12,41953,76804926431
2048,off,8306.5425,8692.0035,0.9557,3285761795,6034390024,11937461655,50.55,332911243,613550896692
2048,on,8094.6630,8279.7135,0.9777,153531516,6056288290,12057693175,50.23,2456468,613472921529
